id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1343517845955735554,1343517845955735554,2020-12-28 14:23:10 Türkiye Standart Saati,2020-12-28,14:23:10,+0300,1056192689195102209,thetubaca,TUBA DEMİR🦂,,İmam kızıyım. Açıkça konuşmak gerekirse imamların çok zahmetli bir işi yok aldıkları maaşı eleştirmeyeceğim Türkiye şartlarında o maaşla geçim yapmak gerçekten zor olduğu gibi ezilen işçilerin bu maaştan daha az alıyor olmasına da anlam veremiyorum  #asgariucret,tr,[],[],[],3,4,35,['asgariucret'],[],https://twitter.com/thetubaca/status/1343517845955735554,False,,0,,,,,,,,[],,,,
1343517728624300032,1343517728624300032,2020-12-28 14:22:42 Türkiye Standart Saati,2020-12-28,14:22:42,+0300,162354259,ilhandiilek,İlhan Dilek ®,,Hükümet #asgariucret'e yapılan zammı nasıl hesapladıklarını açıklıyordur.  90 kuruş  https://t.co/uZRY2ZYsof,tr,[],[],[],6,21,80,['asgariucret'],[],https://twitter.com/ilhandiilek/status/1343517728624300032,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1343516827746500609/pu/img/pJI0vVj9qgfXtgAP.jpg,,,,,,,[],,,,
1343517342458916864,1343517342458916864,2020-12-28 14:21:10 Türkiye Standart Saati,2020-12-28,14:21:10,+0300,479467670,jimmycuneyt,Jimmy Cuneyt Gurkan,,"#ABD de işsizlik maaşı $2,416 dolar (ortalama)  #Türkiye de işlilik maaşı $379 (#asgariucret )  https://t.co/lJjay9PccP",tr,[],[],['https://pbs.twimg.com/media/EqUh5q8XMAA82F8.jpg'],6,6,31,"['abd', 'türkiye', 'asgariucret']",[],https://twitter.com/JimmyCuneyt/status/1343517342458916864,False,,1,https://pbs.twimg.com/media/EqUh5q8XMAA82F8.jpg,,,,,,,[],,,,
1343517299026886657,1343517299026886657,2020-12-28 14:21:00 Türkiye Standart Saati,2020-12-28,14:21:00,+0300,3401019371,gozgormez,DOĞU !!!,,İnsanca Bi Yaşam İçin #asgariucret  https://t.co/pDs5EJjKeh,tr,[],[],['https://pbs.twimg.com/media/EqUh24zXUAAqyrb.jpg'],1,2,88,['asgariucret'],[],https://twitter.com/gozgormez/status/1343517299026886657,False,,1,https://pbs.twimg.com/media/EqUh24zXUAAqyrb.jpg,,,,,,,[],,,,
1343517231297257472,1343517231297257472,2020-12-28 14:20:43 Türkiye Standart Saati,2020-12-28,14:20:43,+0300,1061973558753222656,ankarayaziyor,Ankara Yazıyor,,CHP'li Belediyelerde en düşük ücret 3100 TL  Peki Akp'li belediyelerde çalışan işçilerin suçu ne ?  #asgariucret  https://t.co/T2tl2bcQ5R,tr,[],[],['https://pbs.twimg.com/media/EqUhn8rWMAA1K3A.jpg'],6,8,103,['asgariucret'],[],https://twitter.com/AnkaraYaziyor/status/1343517231297257472,False,,1,https://pbs.twimg.com/media/EqUhn8rWMAA1K3A.jpg,,,,,,,[],,,,
1343517222787018752,1343517222787018752,2020-12-28 14:20:41 Türkiye Standart Saati,2020-12-28,14:20:41,+0300,1249422325503545344,executivechef20,вαяιş,,"Halkın , Çalışanının yanında olan yöneticiden feyz almak gerek...  #asgariucret  #Millet3100Cumhur2825 @osmanzolan  https://t.co/oGEfAjC2AJ",tr,"[{'screen_name': 'osmanzolan', 'name': 'osman zolan 🇹🇷', 'id': '929425921'}]",[],['https://pbs.twimg.com/media/EqUhyz3XcAA9bLN.jpg'],3,4,30,"['asgariucret', 'millet3100cumhur2825']",[],https://twitter.com/ExecutiveChef20/status/1343517222787018752,False,,1,https://pbs.twimg.com/media/EqUhyz3XcAA9bLN.jpg,,,,,,,[],,,,
1343517117732298761,1343517117732298761,2020-12-28 14:20:16 Türkiye Standart Saati,2020-12-28,14:20:16,+0300,821398548,ay_moon_ay,Ayşe Aydoğdu,,Sarayın 1 dakikalık gideri: 7.638 TL  Asgari ücretin 1 aylık ederi: 2.825 TL   #asgariucret  https://t.co/EnYiLrvXVI,tr,[],[],"['https://pbs.twimg.com/media/EqUhskLXUAA_OSD.jpg', 'https://pbs.twimg.com/media/EqUhstaWMAM-TdS.jpg']",9,62,183,['asgariucret'],[],https://twitter.com/ay_moon_ay/status/1343517117732298761,False,,1,https://pbs.twimg.com/media/EqUhskLXUAA_OSD.jpg,,,,,,,[],,,,
1343516947170942976,1343516947170942976,2020-12-28 14:19:36 Türkiye Standart Saati,2020-12-28,14:19:36,+0300,1132163245,hzlandirc,#Katalizör,,"#Millet3100Cumhur2825  Özetlersek Devletimizin kendi fabrikaları,limanları,tekelleri de olacak 83 milyon nüfusun 15/20 milyonunu kendine eskisi gibi çalıştıracak vahşi kapitalizmin vergi kaçıran düzmece bilançolu patronlarının kucağına atmayacak #asgariucret e mahkum etmeyecek!!",tr,[],[],[],1,20,48,"['millet3100cumhur2825', 'asgariucret']",[],https://twitter.com/hzlandirc/status/1343516947170942976,False,https://twitter.com/hzlandirc/status/1343509783928778752,0,,,,,,,,[],,,,
1343516914916667392,1343516914916667392,2020-12-28 14:19:28 Türkiye Standart Saati,2020-12-28,14:19:28,+0300,22626881,yenisafak,Yeni Şafak,,"🗣Aile, Çalışma ve Sosyal Hizmetler Bakanı Selçuk: Asgari ücret net 2 bin 825 lira 90 kuruş olarak belirlenmiştir #asgariucret",tr,[],[],[],21,7,53,['asgariucret'],[],https://twitter.com/yenisafak/status/1343516914916667392,False,,0,,,,,,,,[],,,,
1343516846239186947,1343516846239186947,2020-12-28 14:19:12 Türkiye Standart Saati,2020-12-28,14:19:12,+0300,821532470,barbarostrker2,Ho Amca ☭,,Sizin adınıza başkaları çalıştığı için elleriniz yumuşacık...  Jack London  #asgariucret  https://t.co/3lgs4swUVR,tr,[],[],['https://pbs.twimg.com/media/EqUhcsUXcAIe-5Q.jpg'],39,457,3317,['asgariucret'],[],https://twitter.com/barbarostrker2/status/1343516846239186947,False,,1,https://pbs.twimg.com/media/EqUhcsUXcAIe-5Q.jpg,,,,,,,[],,,,
